"co_id","deal_id","co_name","co_hq","co_city","co_state","co_verticals","deal_date","deal_vintage","deal_number","deal_series","deal_vc_round","deal_type","deal_premoney","deal_postmoney","deal_size","deal_pct_acq","deal_investor_count","investor_id","investor_name","investor_gp_id","investor_gp","fund_id","fund_name"
"60431-23","78666-13T","Jason Industries","Milwaukee, WI","Milwaukee","WI","{Manufacturing}","2013-09-30",2013,1,,,"IPO",53.83,215.33,161.5,,,"{56036-44}","{""Quinpario Partners""}","{56036-44-None}","{NULL}","{}","{}"
"459516-52","166353-13T","Jato Communications","Denver, CO","Denver","CO","{}","2000-01-24",2000,2,,,"Corporate",,,10,,,"{11026-45}","{""Microsoft (NAS: MSFT)""}","{""11026-45-Thomas Koll""}","{""Thomas Koll""}","{}","{}"
"459516-52","166353-22T","Jato Communications","Denver, CO","Denver","CO","{}","2000-12-29",2000,3,,,"Out of Business",,,,,,"{}","{}","{}","{}","{}","{}"
"459516-52","166353-04T","Jato Communications","Denver, CO","Denver","CO","{}",,,1,,,"PE Growth/Expansion",,,,,,"{10315-81}","{""Seaport Capital""}","{""10315-81-Jim Collis""}","{""Jim Collis""}","{}","{}"
"437651-38","140572-36T","JAVA Group Programs","Fort Lauderdale, FL","FortLauderdale","FL","{}","2020-03-31",2020,1,,,"Accelerator/Incubator",,,,,,"{170281-72}","{entrepreneurship@UBC}","{170281-72-None}","{NULL}","{}","{}"
"358714-72","142885-81T","Jaymar Produce","Wimauma, FL","Wimauma","FL","{}","2020-04-14",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"172541-53","112720-42T","LivePrint","WA","Unknown","WA","{}","2000-03-01",2000,1,,,"Merger/Acquisition",,40,40,100,1,"{157605-22}","{""Kinko's Japan Co.""}","{157605-22-None}","{NULL}","{}","{}"
"114441-85","51744-07T","Liz Claiborne (Worldwide Brand Distribution)","New York, NY","NewYork","NY","{}","2011-11-02",2011,1,,,"Merger/Acquisition",,267.5,267.5,100,1,"{41511-16}","{JCPenney}","{""41511-16-Myron Ullman""}","{""Myron Ullman""}","{}","{}"
"56528-11","112504-78T","LizardTech","Seattle, WA","Seattle","WA","{""Oil & Gas"",TMT}","2018-10-02",2018,6,,,"Merger/Acquisition",,,,100,1,"{233515-00}","{Extensis}","{""233515-00-Osamu Ikeda""}","{""Osamu Ikeda""}","{}","{}"
"56528-11","25337-35T","LizardTech","Seattle, WA","Seattle","WA","{""Oil & Gas"",TMT}","2003-06-20",2003,5,,,"Merger/Acquisition",,11.25,11.25,100,1,"{55870-75}","{Celartem}","{55870-75-None}","{NULL}","{}","{}"
"183329-29","90794-35T","LJM Engineering Group","Denville, NJ","Denville","NJ","{Industrials}","2016-01-01",2016,1,,,"Merger/Acquisition",,,,100,1,"{183329-56}","{""Premier engineering group""}","{183329-56-None}","{NULL}","{}","{}"
"170380-54","82139-14T","LM Wolper Information Delivery","Easton, PA","Easton","PA","{TMT}","2012-01-01",2012,1,,,"Merger/Acquisition",,,,100,1,"{170382-97}","{""LM Information Delivery""}","{""170382-97-Janne Järvinen""}","{""Janne Järvinen""}","{}","{}"
"107975-44","45781-57T","LMG","Orlando, FL","Orlando","FL","{}","2015-01-12",2015,1,,,"Merger/Acquisition",,,,100,1,"{107998-03}","{""Entertainment Technology Partners""}","{107998-03-None}","{NULL}","{}","{}"
"129368-17","143001-91T","Lenthor Engineering","Milpitas, CA","Milpitas","CA","{Manufacturing,TMT}","2020-05-01",2020,1,,,"Debt - PPP",,,2.19,,,"{}","{}","{}","{}","{}","{}"
"365905-72","149003-29T","Lentz, Cantor, Massey","Malvern, PA","Malvern","PA","{}","2020-04-15",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"453097-90","170129-71T","Leo's Place","Idaho Falls, ID","IdahoFalls","ID","{}","2013-03-11",2013,1,,,"Debt - General",,,0.5,,,"{}","{}","{}","{}","{}","{}"
"121155-67","55070-56T","Leomo","Boulder, CO","Boulder","CO","{""Internet of Things"",""LOHAS & Wellness"",TMT,""Wearables & Quantified Self""}","2015-08-03",2015,2,,,"Seed Round",,,5.8,,,"{59598-19,53526-43,54419-50}","{""FIH Mobile (HKG: 02038)"",""Hon Hai Precision (TAI: 2317)"",Mistletoe}","{""59598-19-Calvin Chih"",53526-43-None,""54419-50-Taizo Son""}","{""Calvin Chih"",NULL,""Taizo Son""}","{}","{}"
"121155-67","55070-47T","Leomo","Boulder, CO","Boulder","CO","{""Internet of Things"",""LOHAS & Wellness"",TMT,""Wearables & Quantified Self""}","2014-01-01",2014,1,,,"Angel (individual)",,,4.5,,,"{}","{}","{}","{}","{}","{}"
"172624-33","122201-02T","Léon & George","San Francisco, CA","SanFrancisco","CA","{E-Commerce,""LOHAS & Wellness""}","2019-07-01",2019,2,,,"Early Stage VC",,,,,,"{91046-62,185009-68}","{""Day One Ventures"",""SSC Venture Partners""}","{91046-62-None,185009-68-None}","{NULL,NULL}","{}","{}"
"361001-26","151837-30T","Leon E. Werntz and Associates","Shreveport, LA","Shreveport","LA","{}","2020-04-09",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"137437-84","142754-77T","Leonard C. Quick & Associates Consulting & Forensic Engineers","Mandeville, LA","Mandeville","LA","{}","2020-04-14",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"267400-63","154876-60T","Leonard Masonry","Hazelwood, MO","Hazelwood","MO","{}","2020-04-12",2020,2,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"231146-83","109231-21T","Leonard's Carpet Service","Anaheim, CA","Anaheim","CA","{Industrials}",,,1,,,"Debt - General",,,10.8,,,"{}","{}","{}","{}","{}","{}"
"13219-84","39239-38T","Leonard, Street and Deinard","Minneapolis, MN","Minneapolis","MN","{}","2014-01-01",2014,1,,,"Merger of Equals",,,,,,"{62506-54}","{Stinson}","{62506-54-None}","{NULL}","{}","{}"
"235407-70","148964-86T","Sayville Ferry","Sayville, NY","Sayville","NY","{}","2020-04-07",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"240506-83","146756-53T","Leopold's Ice Cream","Savannah, GA","Savannah","GA","{}","2020-04-10",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"259199-83","149517-10T","Loud Rumor","Scottsdale, AZ","Scottsdale","AZ","{}","2020-04-05",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"41685-85","15932-08T","Louis Berger Services","Greenville, SC","Greenville","SC","{Industrials}","2009-08-12",2009,2,,,"PE Growth/Expansion",,,3,,,"{11260-99,54641-08,11273-50}","{""Argosy Private Equity"",""Balance Point Capital"",""Plexus Capital""}","{11260-99-None,54641-08-None,11273-50-None}","{NULL,NULL,NULL}","{}","{}"
"41685-85","15884-47T","Louis Berger Services","Greenville, SC","Greenville","SC","{Industrials}","2009-01-01",2009,1,,,"Platform Creation",,,,,,"{54641-08,10148-50}","{""Balance Point Capital"",""Ranger Aerospace""}","{54641-08-None,""10148-50-Steve Townes""}","{NULL,""Steve Townes""}","{}","{}"
"140055-49","143420-05T","Louis Mechanical Contractors","Baton Rouge, LA","BatonRouge","LA","{Industrials}","2020-04-13",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"100341-91","49597-39T","Louis Sterling","Hilton Head Island, SC","HiltonHeadIsland","SC","{Industrials}",,,2,,,"Bankruptcy: Liquidation",,,,,,"{}","{}","{}","{}","{}","{}"
"100341-91","40342-24T","Louis Sterling","Hilton Head Island, SC","HiltonHeadIsland","SC","{Industrials}",,,1,,,"PE Growth/Expansion",,,,,,"{11326-42}","{""Salem Halifax Capital Partners""}","{11326-42-None}","{NULL}","{}","{}"
"373872-16","144512-92T","Louisiana Technology Consulting","Mandeville, LA","Mandeville","LA","{}","2020-06-26",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"353215-54","151727-23T","Louison Costello Condon and Pfaff","Boston, MA","Boston","MA","{}","2020-04-27",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"299466-73","148558-24T","Louisville Injury Clinics","Louisville, KY","Louisville","KY","{}","2020-04-16",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"230351-32","150211-36T","Louisville Label","Louisville, KY","Louisville","KY","{Industrials}","2020-04-06",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"132028-84","143231-50T","Louisville Paving","Louisville, KY","Louisville","KY","{Industrials}","2020-04-04",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"86785-57","76153-96T","Louisville Solutions","Louisville, KY","Louisville","KY","{Industrials,Manufacturing}","2015-01-01",2015,2,,,"Out of Business",,,,,,"{}","{}","{}","{}","{}","{}"
"86785-57","55125-73T","Louisville Solutions","Louisville, KY","Louisville","KY","{Industrials,Manufacturing}","2012-10-16",2012,1,,,"Angel (individual)",,,0.68,,,"{}","{}","{}","{}","{}","{}"
"258582-07","152106-40T","Lane Technical Sales","Chicago, IL","Chicago","IL","{}","2020-04-08",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"10100-53","86065-75T","Lane, Berry & Co. International","Boston, MA","Boston","MA","{}",,,1,,,"PE Growth/Expansion",,,,,,"{11285-56}","{""The Ropart Asset Management Funds""}","{11285-56-None}","{NULL}","{}","{}"
"125650-27","69439-42T","Langston","Cherry Hill, NJ","CherryHill","NJ","{Manufacturing}",,,2,,,"Bankruptcy: Liquidation",,,,,,"{}","{}","{}","{}","{}","{}"
"42752-89","16416-73T","Language & Computing","Bethesda, MD","Bethesda","MD","{""Artificial Intelligence & Machine Learning"",TMT}","2000-10-05",2000,1,,,"Later Stage VC",,,5.21,,,"{11199-61,42754-24}","{""Gimv (BRU: GIMB)"",""Proximus (Telecommunications Service Providers) (BRU: PROX)""}","{11199-61-None,42754-24-None}","{NULL,NULL}","{}","{}"
"222043-60","97271-74T","Language Learner","Princeton, NJ","Princeton","NJ","{EdTech,TMT}","2017-01-01",2017,1,,,"Accelerator/Incubator",,,,,,"{65531-44}","{""Keller Center's eLab""}","{65531-44-None}","{NULL}","{}","{}"
"154295-20","109864-45T","Lankershim Media Center","North Hollywood, CA","NorthHollywood","CA","{}",,,2,,,"Undetermined",,,,,,"{}","{}","{}","{}","{}","{}"
"372045-61","144068-77T","Lanmor Services","Phoenix, AZ","Phoenix","AZ","{}","2020-04-10",2020,1,,,"Debt - PPP",,,0.93,,,"{}","{}","{}","{}","{}","{}"
"259127-20","150696-01T","Lanoha Nurseries","Omaha, NE","Omaha","NE","{}","2020-04-03",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"58322-17","85599-82T","Hazelcast","San Mateo, CA","SanMateo","CA","{""CloudTech & DevOps"",SaaS,TMT}","2017-03-29",2017,4,"Series C2","4th Round","Later Stage VC",40,43.12,3.12,7.24,4,"{42202-18,119684-44,11159-74,57802-87}","{""Bain Capital Ventures"",""Capital One Ventures"",""Earlybird Venture Capital"",Striim}","{""42202-18-Salil Deshpande"",""119684-44-Venkatesh Seetharam"",""11159-74-Roland Manger"",57802-87-None}","{""Salil Deshpande"",""Venkatesh Seetharam"",""Roland Manger"",NULL}","{13428-55F,14199-13F}","{""Bain Capital Venture Fund 2012"",""Earlybird Digital East Fund I""}"
"13184-38","23261-50T","NetBotz","Austin, TX","Austin","TX","{TMT}","2004-04-22",2004,5,"Series E","5th Round","Later Stage VC",51.96,56.01,4.05,7.23,,"{}","{}","{}","{}","{}","{}"
"51361-93","167618-89T","Vizio (NYS: VZIO)","Irvine, CA","Irvine","CA","{AudioTech,E-Commerce}","2018-06-21",2018,6,,"3rd Round","Later Stage VC",902.2,972.2,70,7.2,2,"{53526-43,153131-32}","{""Hon Hai Precision (TAI: 2317)"",""Innolux (TAI: 3481)""}","{53526-43-None,""153131-32-Jin-Yang Hung""}","{NULL,""Jin-Yang Hung""}","{}","{}"
"50896-36","18194-14T","Everyday Health","New York, NY","NewYork","NY","{""LOHAS & Wellness"",TMT}","2008-11-01",2008,7,"Series F","6th Round","Later Stage VC",266.47,286.47,20,7.18,4,"{11193-13,11250-82,10446-40,10521-46}","{""Foundation Capital"",""NeoCarta Ventures"",""Rho Ventures"",""Scale Venture Partners""}","{""11193-13-Charles Moldow"",""11250-82-Jarrett Collins"",""10446-40-Douglas McCormick"",""10521-46-Sharon Wienbar""}","{""Charles Moldow"",""Jarrett Collins"",""Douglas McCormick"",""Sharon Wienbar""}","{11118-34F,11200-06F,11250-28F,11658-70F}","{""Foundation Capital IV"",""NeoCarta Ventures"",""RHO Ventures V"",""Scale Venture Partners II""}"
"51006-52","77868-19T","Chronix Biomedical","San Jose, CA","SanJose","CA","{""Life Sciences"",Oncology}","2016-10-31",2016,11,"Series I","9th Round","Later Stage VC",65,70.01,5.01,7.16,1,"{65674-45}","{""Limitless Earth (LON: LME)""}","{65674-45-None}","{NULL}","{}","{}"
"13164-58","52089-22T","NuVasive (NAS: NUVA)","San Diego, CA","SanDiego","CA","{}","2000-08-04",2000,3,"Series C","3rd Round","Later Stage VC",39.04,42.04,3,7.14,,"{}","{}","{}","{}","{}","{}"
"175290-76","89113-06T","Nicolette","Long Beach, CA","LongBeach","CA","{HealthTech,TMT}","2017-07-28",2017,2,,"1st Round","Seed Round",3,3.23,0.23,7.12,2,"{154862-38,168893-11}","{""Backstage Capital"",""GAN Ventures""}","{154862-38-None,168893-11-None}","{NULL,NULL}","{15486-94F,15805-00F}","{""Backstage Capital Fund"",""GAN Ventures Fund I""}"
"110258-92","81427-51T","Ovid Therapeutics (NAS: OVID)","New York, NY","NewYork","NY","{""Life Sciences""}","2017-01-18",2017,3,"Series B1","3rd Round","Later Stage VC",337.5,363.36,25.86,7.12,2,"{98013-52,11309-68}","{Biobrit,""Takeda Ventures""}","{98013-52-None,11309-68-None}","{NULL,NULL}","{}","{}"
"12657-07","36144-46T","ExtraHop","Seattle, WA","Seattle","WA","{""Artificial Intelligence & Machine Learning"",""Big Data"",SaaS,TMT}","2013-07-31",2013,4,"Series C","4th Round","Later Stage VC",157.33,169.83,12.5,7.09,3,"{11229-85,11240-47,10271-98}","{""Madrona Venture Group"",""Meritech Capital Partners"",TCV}","{""11229-85-Matthew McIlwain"",""11240-47-George Bischof"",""10271-98-Theodore Coons""}","{""Matthew McIlwain"",""George Bischof"",""Theodore Coons""}","{11171-62F,11713-15F,11288-44F}","{""Madrona Venture Fund III"",""Meritech Capital Partners IV"",""Technology Crossover Ventures VI""}"
"248257-63","141762-43T","Renu Body Spa","Deerfield, IL","Deerfield","IL","{}","2020-04-14",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"247894-21","151931-53T","ReNu Energy Solutions","Charlotte, NC","Charlotte","NC","{}","2020-04-11",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"469607-86","181985-77T","ReNue Pharmacy","Frisco, TX","Frisco","TX","{}","2021-10-01",2021,1,,,"PE Growth/Expansion",,,,,,"{165951-46}","{""HS Holdings""}","{165951-46-None}","{NULL}","{}","{}"
"128596-96","141795-01T","jackson systems","Indianapolis, IN","Indianapolis","IN","{}","2020-04-07",2020,1,,,"Debt - PPP",,,0.77,,,"{}","{}","{}","{}","{}","{}"
"12120-94","49302-64T","RepconStrickland","La Porte, TX","LaPorte","TX","{}","2010-04-01",2010,2,,,"Debt - General",,,4.84,,,"{}","{}","{}","{}","{}","{}"
"327141-73","129541-96T","Replenysh","Los Angeles, CA","LosAngeles","CA","{CleanTech,Manufacturing}","2019-03-01",2019,1,,,"Seed Round",,,,,,"{170398-18}","{""Script Capital (United States)""}","{170398-18-None}","{NULL}","{}","{}"
"66395-89","96613-39T","Replika","San Francisco, CA","SanFrancisco","CA","{""Artificial Intelligence & Machine Learning"",Mobile,TMT}","2017-05-24",2017,5,,,"Accelerator/Incubator",,,,,,"{181009-18}","{""All Turtles""}","{""181009-18-Philip Libin""}","{""Philip Libin""}","{}","{}"
"66395-89","47567-44T","Replika","San Francisco, CA","SanFrancisco","CA","{""Artificial Intelligence & Machine Learning"",Mobile,TMT}",,,3,,,"Early Stage VC",,,,,,"{51639-94}","{""Ludlow Ventures""}","{51639-94-None}","{NULL}","{}","{}"
"124608-88","94005-55T","Replimune (NAS: REPL)","Woburn, MA","Woburn","MA","{""Life Sciences"",Oncology}","2017-08-04",2017,3,"Series B",,"Early Stage VC",,,55,,,"{11132-20,459912-07,63908-38,10346-14,54064-81,11261-80,51732-28}","{""Atlas Venture"",""Bain Capital Life Sciences"",""Cormorant Asset Management"",Forbion,""Foresite Capital Management"",""Omega Funds"",""Redmile Group""}","{""11132-20-Jason Rhodes"",459912-07-None,63908-38-None,""10346-14-Sander Slootweg"",""54064-81-Brett Zbar"",""11261-80-Otello Stampacchia"",51732-28-None}","{""Jason Rhodes"",NULL,NULL,""Sander Slootweg"",""Brett Zbar"",""Otello Stampacchia"",NULL}","{}","{}"
"163577-08","121348-81T","Reply.ai","New York, NY","NewYork","NY","{""Artificial Intelligence & Machine Learning"",SaaS,TMT}","2018-01-01",2018,4,,,"Accelerator/Incubator",,,,,,"{54172-81}","{""Plug and Play Tech Center""}","{54172-81-None}","{NULL}","{}","{}"
"163577-08","121351-24T","Reply.ai","New York, NY","NewYork","NY","{""Artificial Intelligence & Machine Learning"",SaaS,TMT}","2017-01-01",2017,2,,,"Accelerator/Incubator",,,,,,"{184746-97}","{BridgeCommunity}","{184746-97-None}","{NULL}","{}","{}"
"163577-08","73755-28T","Reply.ai","New York, NY","NewYork","NY","{""Artificial Intelligence & Machine Learning"",SaaS,TMT}","2016-08-01",2016,1,,,"Accelerator/Incubator",,,0.2,,,"{91705-42,103661-56}","{""R/GA Accelerator"",""Westfield Labs""}","{""91705-42-Stephen Plumlee"",103661-56-None}","{""Stephen Plumlee"",NULL}","{}","{}"
"94934-08","52815-25T","ReplyAll","Bronx, NY","Bronx","NY","{TMT}","2015-01-01",2015,2,,,"Angel (individual)",,,0.25,,,"{}","{}","{}","{}","{}","{}"
"94934-08","52814-80T","ReplyAll","Bronx, NY","Bronx","NY","{TMT}","2013-09-01",2013,1,,,"Seed Round",,,0.1,,,"{}","{}","{}","{}","{}","{}"
"360584-11","152138-62T","Jackson Park Medical Associates","Chicago, IL","Chicago","IL","{}","2020-05-03",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"456369-49","162462-43T","Jackson Speed and Custom","Cartersville, GA","Cartersville","GA","{}","2017-04-26",2017,1,,,"Debt - General",,,0.49,,,"{}","{}","{}","{}","{}","{}"
"41527-09","29103-94T","Jacksonville Savings Bank","Jacksonville, IL","Jacksonville","IL","{FinTech,TMT}","2013-09-25",2013,4,,,"PIPE",,,1,,,"{}","{}","{}","{}","{}","{}"
"41527-09","58451-50T","Jacksonville Savings Bank","Jacksonville, IL","Jacksonville","IL","{FinTech,TMT}","1999-06-30",1999,1,,,"IPO",,,9.06,,,"{}","{}","{}","{}","{}","{}"
"41527-09","29100-70T","Jacksonville Savings Bank","Jacksonville, IL","Jacksonville","IL","{FinTech,TMT}","2010-09-21",2010,2,,,"PIPE",,,35,,,"{14204-44}","{""CapGen Financial Group""}","{""14204-44-John Rose""}","{""John Rose""}","{}","{}"
"296417-26","145622-71T","Jacky Jones","Cleveland, GA","Cleveland","GA","{}","2020-04-15",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"361752-40","148660-84T","Jaco Engineering","Anaheim, CA","Anaheim","CA","{}","2020-04-10",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"323398-54","153241-30T","Jacobstelephone","Dayton, OH","Dayton","OH","{}","2020-05-03",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"388591-21","142490-26T","Jacunski Humes Architects","Berlin, CT","Berlin","CT","{}","2020-04-28",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"55354-42","63058-42T","SBA Materials","San Jose, CA","SanJose","CA","{Industrials,Nanotechnology,TMT}","2015-12-15",2015,8,"Series D","7th Round","Later Stage VC",21.8,25.5,3.7,14.51,5,"{81906-40,11220-13,11292-58,11608-75,51281-47}","{""Air Liquide Venture Capital"",""Intel Capital"",""Samsung Venture Investment"",""Sun Mountain Capital"",""TEL Venture Capital""}","{""81906-40-Gregory Fleming"",11220-13-None,""11292-58-Dong-Su Kim"",11608-75-None,""51281-47-Ted Hirose""}","{""Gregory Fleming"",NULL,""Dong-Su Kim"",NULL,""Ted Hirose""}","{15110-29F,13702-42F}","{""NMSIC Co-Investment Fund (2014)"",""SVIC No. 25""}"
"244252-00","158981-50T","Vimly Benefit Solutions","Mukilteo, WA","Mukilteo","WA","{SaaS}","2020-11-10",2020,2,"Series A1","Angel","Angel (individual)",40,46.79,6.79,14.51,,"{}","{}","{}","{}","{}","{}"
"52798-78","39411-10T","Bluprint","Denver, CO","Denver","CO","{EdTech}","2014-11-13",2014,6,"Series D","6th Round","Later Stage VC",288.16,339.16,51,14.5,6,"{11119-42,11105-47,42240-79,10463-23,11307-97,42873-94}","{""Access Venture Partners"",""Adams Street Partners"",""Foundry Group"",""Silicon Valley Bank"",Stripes,""Tiger Global Management""}","{11119-42-None,""11105-47-Jeffrey Diehl"",""42240-79-Jason Mendelson"",10463-23-None,""11307-97-Daniel Marriott"",""42873-94-Lee Fixel""}","{NULL,""Jeffrey Diehl"",""Jason Mendelson"",NULL,""Daniel Marriott"",""Lee Fixel""}","{12440-44F,13802-50F,12932-56F,15467-14F,13388-41F}","{""Access Venture Partners II"",""Adams Street 2013 Non-U.S. Developed Markets Fund"",""Foundry Venture Capital 2010"",""Internet Fund III"",""SG Growth Partners II""}"
"135880-75","177164-74T","FlexXray","Arlington, TX","Arlington","TX","{TMT}","2021-07-26",2021,4,,,"Buyout/LBO",,,,14.5,2,"{184938-85,10074-61}","{""Tilia Holdings"",""Warburg Pincus""}","{""184938-85-Johannes Burlin"",""10074-61-Stephanie Geveda""}","{""Johannes Burlin"",""Stephanie Geveda""}","{17954-11F,16401-97F}","{""Tilia Fund II"",""Warburg Pincus Global Growth""}"
"56356-39","26048-80T","Round Table Pizza","Concord, CA","Concord","CA","{}","2011-02-10",2011,2,,,"Bankruptcy: Admin/Reorg",,,,,,"{}","{}","{}","{}","{}","{}"
"53507-08","120882-43T","Halcyon Healthcare","Cumming, GA","Cumming","GA","{}","2013-01-28",2013,2,,,"Debt - General",,,,,,"{}","{}","{}","{}","{}","{}"
"343034-20","158706-46T","Fast (Application Software)","San Francisco, CA","SanFrancisco","CA","{E-Commerce,FinTech,Mobile,""Mobile Commerce""}","2021-01-26",2021,3,"Series B","3rd Round","Early Stage VC",500,584.3,102,14.43,7,"{327363-13,11216-98,443163-34,268742-71,54782-29,439157-89,60139-90}","{Addition,""Index Ventures"",""Jaren Glover"",""Mahr Projects"",Stripe,""Sugar Capital"",""Susa Ventures""}","{327363-13-None,11216-98-None,""443163-34-Jaren Glover"",268742-71-None,54782-29-None,""439157-89-Brian Sugar"",60139-90-None}","{NULL,NULL,""Jaren Glover"",NULL,NULL,""Brian Sugar"",NULL}","{17818-75F,18500-95F,18052-12F,15440-86F}","{""Addition One"",""Index Origin"",""Sugar Capital Fund I"",""Susa Ventures II""}"
"399151-81","170260-21T","Instil Bio (NAS: TIL)","Dallas, TX","Dallas","TX","{""Life Sciences"",Oncology}","2021-02-21",2021,3,"Series C","3rd Round","Later Stage VC",1100,1285.56,185.56,14.43,1,"{226936-18}","{""Curative Ventures""}","{226936-18-None}","{NULL}","{16452-10F}","{""Curative Ventures V""}"
"54205-57","23572-36T","LifeSize","Austin, TX","Austin","TX","{""CloudTech & DevOps"",SaaS,TMT}","2005-12-13",2005,3,"Series C","3rd Round","Later Stage VC",104.21,121.71,17.5,14.38,,"{}","{}","{}","{}","{}","{}"
"403907-50","149529-70T","Round Feather","San Diego, CA","SanDiego","CA","{}","2020-05-03",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"357836-41","142865-74T","Round Rock Bakery","Round Rock, TX","RoundRock","TX","{}","2020-04-06",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"357151-87","144388-18T","Rountree Transport and Rigging","Jacksonville, FL","Jacksonville","FL","{}","2020-05-03",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"460273-33","166999-42T","SaraniaSat","Los Angeles, CA","LosAngeles","CA","{AgTech,Industrials,""Robotics and Drones"",""Space Technology"",TMT}","2020-09-19",2020,2,,,"Grant",,,2.13,,2,"{160314-49,114726-97}","{""NASA SBIR/STTR"",""National Aeronautics and Space Administration""}","{160314-49-None,114726-97-None}","{NULL,NULL}","{}","{}"
"460273-33","166998-43T","SaraniaSat","Los Angeles, CA","LosAngeles","CA","{AgTech,Industrials,""Robotics and Drones"",""Space Technology"",TMT}","2018-01-01",2018,1,,,"Accelerator/Incubator",,,,,1,"{268165-72}","{""Catalyst Space Accelerator""}","{268165-72-None}","{NULL}","{}","{}"
"135365-50","141252-85T","Sarasota Retina Institute","Sarasota, FL","Sarasota","FL","{}","2020-04-10",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"249013-99","149458-69T","Sarasotamanagement","Sarasota, FL","Sarasota","FL","{}","2020-04-08",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"374617-72","145693-63T","Sarati International","Los Fresnos, TX","LosFresnos","TX","{}","2020-04-07",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"54037-36","63915-13T","Sarda","Durham, NC","Durham","NC","{Industrials,TMT}","2016-08-16",2016,5,"Series B","3rd Round","Early Stage VC",,,5,,2,"{42329-89,10559-17}","{""IDEA Fund Partners"",""Qorvo (NAS: QRVO)""}","{""42329-89-John Cambier"",10559-17-None}","{""John Cambier"",NULL}","{13739-95F}","{""IDEA Fund II""}"
"54037-36","91971-46T","Sarda","Durham, NC","Durham","NC","{Industrials,TMT}","2014-01-01",2014,4,,,"Grant",,,1.5,,1,"{120649-24}","{""United States Department of Defense""}","{120649-24-None}","{NULL}","{}","{}"
"54037-36","93576-07T","Sarda","Durham, NC","Durham","NC","{Industrials,TMT}","2017-07-07",2017,6,,"4th Round","Later Stage VC",,,0.1,,1,"{42329-89}","{""IDEA Fund Partners""}","{""42329-89-John Cambier""}","{""John Cambier""}","{13739-95F}","{""IDEA Fund II""}"
"54037-36","93581-11T","Sarda","Durham, NC","Durham","NC","{Industrials,TMT}","2011-06-13",2011,1,,,"Grant",,,,,1,"{11250-55}","{""NC Idea""}","{""11250-55-John Cambier""}","{""John Cambier""}","{}","{}"
"54037-36","138486-52T","Sarda","Durham, NC","Durham","NC","{Industrials,TMT}","2018-11-01",2018,7,,,"Out of Business",,,,,,"{}","{}","{}","{}","{}","{}"
"54037-36","24303-07T","Sarda","Durham, NC","Durham","NC","{Industrials,TMT}","2011-12-27",2011,2,,"1st Round","Seed Round",,,0.41,,,"{}","{}","{}","{}","{}","{}"
"360893-53","152178-67T","Sardis - Lone Elm Water Supply","Midlothian, TX","Midlothian","TX","{}","2020-04-09",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"344346-31","141970-42T","Sassers Glass Works","West Palm Beach, FL","WestPalmBeach","FL","{}","2020-05-03",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
